Plant_ID,Image_Path,Timestamp,Plant_Type,Soil_Moisture,Temperature,Humidity,Light_Intensity,Health_Status,Stress_Level,Disease_Class
PLANT_001,dataset/plantvillage_raw/Apple___healthy/482fa3b9-4ab6-46ff-b670-ff5ba0f37425___RS_HL 5937.JPG,2024-01-01,Apple,64.09,26.42,63.25,11853.06,Healthy,Healthy,Apple___healthy
PLANT_001,dataset/plantvillage_raw/Apple___healthy/0a285c8b-1c31-48d4-89f2-af8b9edc36f6___RS_HL 5759.JPG,2024-01-02,Apple,65.76,24.2,66.07,14489.08,Healthy,Healthy,Apple___healthy
PLANT_001,dataset/plantvillage_raw/Apple___healthy/3ee17877-b649-4b43-939a-d9415a21dfd5___RS_HL 7300.JPG,2024-01-03,Apple,59.93,24.38,71.6,12771.73,Healthy,Healthy,Apple___healthy
PLANT_001,dataset/plantvillage_raw/Apple___healthy/65fcf384-964b-41c5-9a54-aecb473283d2___RS_HL 7672.JPG,2024-01-04,Apple,62.51,25.03,67.16,13852.22,Healthy,Healthy,Apple___healthy
PLANT_001,dataset/plantvillage_raw/Apple___healthy/6806c56d-b5d6-45fc-8e96-0d8def5932b9___RS_HL 5692.JPG,2024-01-05,Apple,57.23,22.35,66.37,12778.55,Healthy,Healthy,Apple___healthy
PLANT_001,dataset/plantvillage_raw/Apple___healthy/15ad1bbe-d6da-4b40-aa05-38d394273595___RS_HL 8046.JPG,2024-01-06,Apple,55.88,23.09,61.15,12612.62,Healthy,Healthy,Apple___healthy
PLANT_001,dataset/plantvillage_raw/Apple___healthy/0e99efe9-d414-4091-b7b4-6ba6856db3d9___RS_HL 5841.JPG,2024-01-07,Apple,59.35,21.81,74.83,14244.75,Healthy,Healthy,Apple___healthy
PLANT_001,dataset/plantvillage_raw/Apple___Cedar_apple_rust/8a2c7dda-c639-47f2-8f10-3bd33d24a08e___FREC_C.Rust 3929.JPG,2024-01-08,Apple,45.83,26.93,63.2,16778.95,Watch,Low,Apple___Cedar_apple_rust
PLANT_001,dataset/plantvillage_raw/Apple___Cedar_apple_rust/57be14d8-a24b-4354-acce-98b3a47f4512___FREC_C.Rust 4057.JPG,2024-01-09,Apple,50.71,25.73,57.53,15798.16,Watch,Low,Apple___Cedar_apple_rust
PLANT_001,dataset/plantvillage_raw/Apple___Cedar_apple_rust/9b3023a6-f35a-46b4-be98-022eb2ac42e4___FREC_C.Rust 9801.JPG,2024-01-10,Apple,58.29,23.55,61.15,15905.18,Watch,Low,Apple___Cedar_apple_rust
PLANT_001,dataset/plantvillage_raw/Apple___Cedar_apple_rust/27d7abba-647b-4f0c-aa4a-3978dccd4f5b___FREC_C.Rust 4092.JPG,2024-01-11,Apple,56.61,29.95,63.79,14524.95,Watch,Low,Apple___Cedar_apple_rust
PLANT_001,dataset/plantvillage_raw/Apple___Cedar_apple_rust/db3ca396-a1ed-416d-902e-9265335cf132___FREC_C.Rust 3711.JPG,2024-01-12,Apple,55.54,26.73,60.82,13509.89,Watch,Low,Apple___Cedar_apple_rust
